m_id,prime,C1,C2,C3,C4,C5,C6,Valence,Arousal,like,u_id
88,none,-1,0,0,-2,1,-1,0,0,-1,9
24,va,0,-1,-2,-2,-1,-1,0,-1,0,7
15,va,-1,-1,1,-1,-1,-1,-2,0,-1,9
14,none,1,0,1,1,-1,-1,-1,0,0,9
91,va,0,1,0,0,-2,0,0,1,0,7
9,va,1,1,-1,1,-1,2,1,0,1,9
21,va,2,2,-2,0,-2,0,2,1,1,7
64,none,1,0,2,0,-2,-2,-1,1,-1,7
4,lyrics,0,1,-2,0,-2,0,1,0,0,7
65,none,-1,1,2,-1,-2,2,-1,-1,2,9
34,va,1,1,-2,1,-1,0,1,-1,0,9
13,lyrics,-1,0,-1,-1,-2,-2,0,-2,0,7
84,va,1,0,1,1,0,-1,-1,1,-1,9
57,lyrics,1,-2,0,2,0,-2,0,2,-2,7
70,lyrics,-1,-1,2,-1,0,1,-1,-1,-2,9
44,va,2,0,1,1,-1,1,0,0,0,9
73,popular,1,1,-2,2,-2,0,0,2,-1,7
23,va,1,0,0,1,0,0,-1,1,-1,9
40,popular,2,0,0,2,-1,-1,0,2,-1,9
35,va,1,2,0,2,0,-1,0,2,0,9
82,none,-1,0,0,2,0,-2,-1,2,0,7
82,none,2,0,0,2,0,-1,0,1,0,9
90,popular,1,1,0,1,0,1,1,1,1,11
91,va,1,-1,1,1,-1,0,1,1,0,9
65,none,-1,-1,2,-2,-1,1,-2,-2,0,11
18,lyrics,0,0,0,2,-2,-2,0,2,0,7
93,popular,1,1,0,1,0,1,1,1,1,11
83,none,1,2,0,0,1,2,2,0,2,9
96,va,-1,-1,1,-2,1,1,-1,-2,0,11
2,lyrics,0,1,-2,1,-2,0,0,1,0,7
50,va,1,-1,0,1,-1,-1,0,1,0,9
95,va,0,0,-2,0,-2,-1,0,0,0,7
42,va,1,1,0,0,0,0,0,1,1,9
1,none,0,0,1,1,0,-1,-1,0,0,7
32,va,1,2,0,1,-1,1,0,0,1,9
19,va,-1,0,1,-2,1,-2,-1,-2,-2,9
5,lyrics,-2,1,-2,-2,-2,2,1,-2,0,7
69,lyrics,-1,1,-1,-2,-1,1,0,-1,0,9
45,popular,1,-1,1,1,-1,-1,-1,1,-1,9
89,popular,1,1,-2,1,-2,0,1,1,1,7
33,none,1,1,0,1,-1,1,0,1,1,9
77,va,1,2,-1,1,0,2,-1,1,2,9
